Date,team1,team2,team1_points_against,team2_points_against,team1_offense_metric,team2_offense_metric
6/15/2025,LAS,LVA,84.25,79,0.669146825,1.450727513
6/15/2025,DAL,PHO,88.375,92,1.348214286,-2.514991182
6/15/2025,MIN,SEA,74.75,80.57142857,1.652777778,-1.439484127
6/15/2025,CHI,ATL,92,80.77777778,0.021494709,2.820011338
6/15/2025,DAL,LVA,88.375,79,1.348214286,1.450727513
6/15/2025,LAS,MIN,84.25,88.375,0.669146825,1.652777778
6/15/2025,NYL,IND,72.125,80.57142857,7.612103175,3.004818594
6/15/2025,SEA,GSV,79,72.125,-1.439484127,-3.452380952
6/15/2025,CHI,CON,92,88.375,0.021494709,-8.612811791
6/15/2025,ATL,WAS,80.57142857,80.57142857,2.820011338,-2.361992945
6/15/2025,PHO,LVA,76.88888889,79,-2.514991182,1.450727513
6/15/2025,CON,IND,89.14285714,80.57142857,-8.612811791,3.004818594
6/15/2025,ATL,NYL,80.57142857,79.85714286,2.820011338,7.612103175
6/15/2025,WAS,CHI,80.77777778,72.125,-2.361992945,0.021494709
6/15/2025,GSV,DAL,82.85714286,74.75,-3.452380952,1.348214286
6/15/2025,LVA,MIN,79.83333333,88.375,1.450727513,1.652777778
6/15/2025,SEA,LAS,79,79.83333333,-1.439484127,0.669146825
