"id","team1","team2","team1_points_against","team2_points_against","team1_offense_metric","team2_offense_metric","date","score1","score2"
10969,"DAL","CON","88.3750000000000000","89.1428571428571429","1.3482142857142857","-8.6128117913832199","5/27/2025",109,87
10970,"SEA","LVA","79.0000000000000000","79.8333333333333333","-1.4394841269841270","1.4507275132275132","5/25/2025",102,82
10971,"NYL","CON","72.1250000000000000","89.1428571428571429","7.6121031746031746","-8.6128117913832199","6/1/2025",100,52
10972,"NYL","CHI","72.1250000000000000","92.0000000000000000","7.6121031746031746","0.02149470899470900000","5/22/2025",99,74
10973,"MIN","DAL","74.7500000000000000","88.3750000000000000","1.6527777777777778","1.3482142857142857","5/16/2025",99,84
10974,"CHI","DAL","92.0000000000000000","88.3750000000000000","0.02149470899470900000","1.3482142857142857","5/29/2025",97,92
10975,"LVA","LAS","79.8333333333333333","84.2500000000000000","1.4507275132275132","0.66914682539682541250","5/30/2025",96,81
10976,"NYL","GSV","72.1250000000000000","82.8571428571428571","7.6121031746031746","-3.4523809523809524","5/27/2025",95,67
10977,"CHI","DAL","92.0000000000000000","88.3750000000000000","0.02149470899470900000","1.3482142857142857","5/31/2025",94,83
10978,"ATL","SEA","80.5714285714285714","79.0000000000000000","2.8200113378684807","-1.4394841269841270","5/30/2025",94,87
10979,"PHO","CHI","76.8888888888888889","92.0000000000000000","-2.5149911816578483","0.02149470899470900000","5/27/2025",94,89
10980,"WAS","ATL","80.7777777777777778","80.5714285714285714","-2.3619929453262786","2.8200113378684807","5/16/2025",94,90
10981,"IND","CHI","79.8571428571428571","92.0000000000000000","3.0048185941043084","0.02149470899470900000","5/17/2025",93,58
10982,"DAL","CHI","88.3750000000000000","92.0000000000000000","1.3482142857142857","0.02149470899470900000","5/29/2025",92,97
10983,"NYL","LVA","72.1250000000000000","79.8333333333333333","7.6121031746031746","1.4507275132275132","5/17/2025",92,78
10984,"LAS","CHI","84.2500000000000000","92.0000000000000000","0.66914682539682541250","0.02149470899470900000","5/25/2025",91,78
10985,"ATL","IND","80.5714285714285714","79.8571428571428571","2.8200113378684807","3.0048185941043084","5/20/2025",91,90
10986,"NYL","IND","72.1250000000000000","79.8571428571428571","7.6121031746031746","3.0048185941043084","5/24/2025",90,88
10987,"IND","ATL","79.8571428571428571","80.5714285714285714","3.0048185941043084","2.8200113378684807","5/20/2025",90,91
10988,"WAS","CON","80.7777777777777778","89.1428571428571429","-2.3619929453262786","-8.6128117913832199","5/18/2025",90,85
10989,"ATL","WAS","80.5714285714285714","80.7777777777777778","2.8200113378684807","-2.3619929453262786","5/16/2025",90,94
10990,"CHI","PHO","92.0000000000000000","76.8888888888888889","0.02149470899470900000","-2.5149911816578483","5/27/2025",89,94
10991,"PHO","LAS","76.8888888888888889","84.2500000000000000","-2.5149911816578483","0.66914682539682541250","5/21/2025",89,86
10992,"MIN","LAS","74.7500000000000000","84.2500000000000000","1.6527777777777778","0.66914682539682541250","5/18/2025",89,75
10993,"MIN","PHO","74.7500000000000000","76.8888888888888889","1.6527777777777778","-2.5149911816578483","6/3/2025",88,65
10994,"ATL","LAS","80.5714285714285714","84.2500000000000000","2.8200113378684807","0.66914682539682541250","5/27/2025",88,82
10995,"IND","NYL","79.8571428571428571","72.1250000000000000","3.0048185941043084","7.6121031746031746","5/24/2025",88,90
10996,"SEA","ATL","79.0000000000000000","80.5714285714285714","-1.4394841269841270","2.8200113378684807","5/30/2025",87,94
10997,"CON","DAL","89.1428571428571429","88.3750000000000000","-8.6128117913832199","1.3482142857142857","5/27/2025",87,109
10998,"LVA","CON","79.8333333333333333","89.1428571428571429","1.4507275132275132","-8.6128117913832199","5/20/2025",87,62
10999,"NYL","WAS","72.1250000000000000","80.7777777777777778","7.6121031746031746","-2.3619929453262786","6/5/2025",86,78
11000,"PHO","GSV","76.8888888888888889","82.8571428571428571","-2.5149911816578483","-3.4523809523809524","6/5/2025",86,77
11001,"MIN","GSV","74.7500000000000000","82.8571428571428571","1.6527777777777778","-3.4523809523809524","6/1/2025",86,75
11002,"LAS","PHO","84.2500000000000000","76.8888888888888889","0.66914682539682541250","-2.5149911816578483","5/21/2025",86,89
11003,"IND","WAS","79.8571428571428571","80.7777777777777778","3.0048185941043084","-2.3619929453262786","6/3/2025",85,76
11004,"PHO","LAS","76.8888888888888889","84.2500000000000000","-2.5149911816578483","0.66914682539682541250","6/1/2025",85,80
11005,"CON","IND","89.1428571428571429","79.8571428571428571","-8.6128117913832199","3.0048185941043084","5/30/2025",85,83
11006,"NYL","WAS","72.1250000000000000","80.7777777777777778","7.6121031746031746","-2.3619929453262786","5/30/2025",85,63
11007,"MIN","DAL","74.7500000000000000","88.3750000000000000","1.6527777777777778","1.3482142857142857","5/21/2025",85,81
11008,"CON","WAS","89.1428571428571429","80.7777777777777778","-8.6128117913832199","-2.3619929453262786","5/18/2025",85,90
11009,"LAS","GSV","84.2500000000000000","82.8571428571428571","0.66914682539682541250","-3.4523809523809524","5/16/2025",84,67
11010,"DAL","MIN","88.3750000000000000","74.7500000000000000","1.3482142857142857","1.6527777777777778","5/16/2025",84,99
11011,"SEA","DAL","79.0000000000000000","88.3750000000000000","-1.4394841269841270","1.3482142857142857","6/3/2025",83,77
11012,"DAL","CHI","88.3750000000000000","92.0000000000000000","1.3482142857142857","0.02149470899470900000","5/31/2025",83,94
11013,"IND","CON","79.8571428571428571","89.1428571428571429","3.0048185941043084","-8.6128117913832199","5/30/2025",83,85
11014,"WAS","IND","80.7777777777777778","79.8571428571428571","-2.3619929453262786","3.0048185941043084","5/28/2025",83,77
11015,"ATL","DAL","80.5714285714285714","88.3750000000000000","2.8200113378684807","1.3482142857142857","5/24/2025",83,75
11016,"NYL","GSV","72.1250000000000000","82.8571428571428571","7.6121031746031746","-3.4523809523809524","5/29/2025",82,77
11017,"LAS","ATL","84.2500000000000000","80.5714285714285714","0.66914682539682541250","2.8200113378684807","5/27/2025",82,88
11018,"MIN","SEA","74.7500000000000000","79.0000000000000000","1.6527777777777778","-1.4394841269841270","5/27/2025",82,77
11019,"LVA","SEA","79.8333333333333333","79.0000000000000000","1.4507275132275132","-1.4394841269841270","5/25/2025",82,102
11020,"GSV","LAS","82.8571428571428571","84.2500000000000000","-3.4523809523809524","0.66914682539682541250","5/23/2025",82,73
11021,"LAS","LVA","84.2500000000000000","79.8333333333333333","0.66914682539682541250","1.4507275132275132","5/30/2025",81,96
11022,"IND","ATL","79.8571428571428571","80.5714285714285714","3.0048185941043084","2.8200113378684807","5/22/2025",81,76
11023,"DAL","MIN","88.3750000000000000","74.7500000000000000","1.3482142857142857","1.6527777777777778","5/21/2025",81,85
11024,"PHO","SEA","76.8888888888888889","79.0000000000000000","-2.5149911816578483","-1.4394841269841270","5/17/2025",81,59
11025,"LAS","PHO","84.2500000000000000","76.8888888888888889","0.66914682539682541250","-2.5149911816578483","6/1/2025",80,85
11026,"ATL","CON","80.5714285714285714","89.1428571428571429","2.8200113378684807","-8.6128117913832199","5/25/2025",79,55
11027,"SEA","DAL","79.0000000000000000","88.3750000000000000","-1.4394841269841270","1.3482142857142857","5/19/2025",79,71
11028,"WAS","NYL","80.7777777777777778","72.1250000000000000","-2.3619929453262786","7.6121031746031746","6/5/2025",78,86
11029,"CHI","LAS","92.0000000000000000","84.2500000000000000","0.02149470899470900000","0.66914682539682541250","5/25/2025",78,91
11030,"LVA","NYL","79.8333333333333333","72.1250000000000000","1.4507275132275132","7.6121031746031746","5/17/2025",78,92
11031,"GSV","PHO","82.8571428571428571","76.8888888888888889","-3.4523809523809524","-2.5149911816578483","6/5/2025",77,86
11032,"DAL","SEA","88.3750000000000000","79.0000000000000000","1.3482142857142857","-1.4394841269841270","6/3/2025",77,83
11033,"GSV","NYL","82.8571428571428571","72.1250000000000000","-3.4523809523809524","7.6121031746031746","5/29/2025",77,82
11034,"IND","WAS","79.8571428571428571","80.7777777777777778","3.0048185941043084","-2.3619929453262786","5/28/2025",77,83
11035,"SEA","MIN","79.0000000000000000","74.7500000000000000","-1.4394841269841270","1.6527777777777778","5/27/2025",77,82
11036,"SEA","PHO","79.0000000000000000","76.8888888888888889","-1.4394841269841270","-2.5149911816578483","5/23/2025",77,70
11037,"WAS","IND","80.7777777777777778","79.8571428571428571","-2.3619929453262786","3.0048185941043084","6/3/2025",76,85
11038,"MIN","CON","74.7500000000000000","89.1428571428571429","1.6527777777777778","-8.6128117913832199","5/23/2025",76,70
11039,"ATL","IND","80.5714285714285714","79.8571428571428571","2.8200113378684807","3.0048185941043084","5/22/2025",76,81
11040,"GSV","WAS","82.8571428571428571","80.7777777777777778","-3.4523809523809524","-2.3619929453262786","5/21/2025",76,74
11041,"GSV","MIN","82.8571428571428571","74.7500000000000000","-3.4523809523809524","1.6527777777777778","6/1/2025",75,86
11042,"LVA","SEA","79.8333333333333333","79.0000000000000000","1.4507275132275132","-1.4394841269841270","6/1/2025",75,70
11043,"DAL","ATL","88.3750000000000000","80.5714285714285714","1.3482142857142857","2.8200113378684807","5/24/2025",75,83
11044,"LVA","WAS","79.8333333333333333","80.7777777777777778","1.4507275132275132","-2.3619929453262786","5/23/2025",75,72
11045,"LAS","MIN","84.2500000000000000","74.7500000000000000","0.66914682539682541250","1.6527777777777778","5/18/2025",75,89
11046,"MIN","PHO","74.7500000000000000","76.8888888888888889","1.6527777777777778","-2.5149911816578483","5/30/2025",74,71
11047,"CHI","NYL","92.0000000000000000","72.1250000000000000","0.02149470899470900000","7.6121031746031746","5/22/2025",74,99
11048,"WAS","GSV","80.7777777777777778","82.8571428571428571","-2.3619929453262786","-3.4523809523809524","5/21/2025",74,76
11049,"LAS","GSV","84.2500000000000000","82.8571428571428571","0.66914682539682541250","-3.4523809523809524","5/23/2025",73,82
11050,"WAS","LVA","80.7777777777777778","79.8333333333333333","-2.3619929453262786","1.4507275132275132","5/23/2025",72,75
11051,"PHO","MIN","76.8888888888888889","74.7500000000000000","-2.5149911816578483","1.6527777777777778","5/30/2025",71,74
11052,"DAL","SEA","88.3750000000000000","79.0000000000000000","1.3482142857142857","-1.4394841269841270","5/19/2025",71,79
11053,"SEA","LVA","79.0000000000000000","79.8333333333333333","-1.4394841269841270","1.4507275132275132","6/1/2025",70,75
11054,"CON","MIN","89.1428571428571429","74.7500000000000000","-8.6128117913832199","1.6527777777777778","5/23/2025",70,76
11055,"PHO","SEA","76.8888888888888889","79.0000000000000000","-2.5149911816578483","-1.4394841269841270","5/23/2025",70,77
11056,"PHO","WAS","76.8888888888888889","80.7777777777777778","-2.5149911816578483","-2.3619929453262786","5/25/2025",68,62
11057,"GSV","NYL","82.8571428571428571","72.1250000000000000","-3.4523809523809524","7.6121031746031746","5/27/2025",67,95
11058,"GSV","LAS","82.8571428571428571","84.2500000000000000","-3.4523809523809524","0.66914682539682541250","5/16/2025",67,84
11059,"PHO","MIN","76.8888888888888889","74.7500000000000000","-2.5149911816578483","1.6527777777777778","6/3/2025",65,88
11060,"WAS","NYL","80.7777777777777778","72.1250000000000000","-2.3619929453262786","7.6121031746031746","5/30/2025",63,85
11061,"WAS","PHO","80.7777777777777778","76.8888888888888889","-2.3619929453262786","-2.5149911816578483","5/25/2025",62,68
11062,"CON","LVA","89.1428571428571429","79.8333333333333333","-8.6128117913832199","1.4507275132275132","5/20/2025",62,87
11063,"SEA","PHO","79.0000000000000000","76.8888888888888889","-1.4394841269841270","-2.5149911816578483","5/17/2025",59,81
11064,"CHI","IND","92.0000000000000000","79.8571428571428571","0.02149470899470900000","3.0048185941043084","5/17/2025",58,93
11065,"CON","ATL","89.1428571428571429","80.5714285714285714","-8.6128117913832199","2.8200113378684807","5/25/2025",55,79
11066,"CON","NYL","89.1428571428571429","72.1250000000000000","-8.6128117913832199","7.6121031746031746","6/1/2025",52,100
